company_id,type,rule_id,text,confidence_pct
ABB,con,CON-13,"No absolute red flag, but ranks in only the 30th percentile of Industrials on 5 year revenue growth",73.2
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,91.9
ABB,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,88.0
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,84.9
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73.3
ABB,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,68.0
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,63.4
ADANIENSOL,con,CON-11,Net debt at 6.4 times EBITDA is a high leverage ratio and limits financial flexibility,86.9
ADANIENSOL,con,CON-01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,69.3
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,75.0
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67.6
ADANIENT,con,CON-11,Net debt at 5.0 times EBITDA is a high leverage ratio and limits financial flexibility,75.8
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.9
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,70.7
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON-11,Net debt at 8.7 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,con,CON-13,"No absolute red flag, but ranks in only the 20th percentile of Industrials on debt to equity",74.8
ADANIPORTS,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.2
ADANIPOWER,con,CON-13,"No absolute red flag, but ranks in only the 54th percentile of Energy on debt to equity",69.4
ADANIPOWER,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
ADANIPOWER,pro,PRO-12,Growing asset base funded by internal accruals reflects self-sustaining growth,88.0
ADANIPOWER,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.0
ADANIPOWER,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,77.9
ADANIPOWER,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,62.9
AMBUJACEM,con,CON-13,"No absolute red flag, but ranks in only the 22th percentile of Materials on 5 year revenue growth",74.4
AMBUJACEM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,93.2
AMBUJACEM,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,84.4
APOLLOHOSP,con,CON-13,"No absolute red flag, but ranks in only the 0th percentile of Healthcare on debt to equity",78.0
APOLLOHOSP,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
APOLLOHOSP,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,92.3
APOLLOHOSP,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,89.9
APOLLOHOSP,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,76.3
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,76.0
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,100.0
ASIANPAINT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ASIANPAINT,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,79.4
ASIANPAINT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,79.3
ASIANPAINT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71.9
ASIANPAINT,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,65.6
ASIANPAINT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,60.6
AXISBANK,con,CON-11,Net debt at 25.4 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
AXISBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,89.5
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
AXISBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99.3
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,75.5
BAJAJ-AUTO,con,CON-13,"No absolute red flag, but ranks in only the 36th percentile of Consumer Discretionary on 5 year revenue growth",72.3
BAJAJ-AUTO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJ-AUTO,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,81.2
BAJAJ-AUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,76.0
BAJAJ-AUTO,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,73.2
BAJAJ-AUTO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,63.3
BAJAJFINSV,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.0
BAJAJFINSV,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79.3
BAJAJFINSV,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.9
BAJAJFINSV,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,71.7
BAJAJFINSV,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71.2
BAJAJFINSV,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67.5
BAJAJFINSV,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,67.4
BAJAJHLDNG,con,CON-13,"No absolute red flag, but ranks in only the 27th percentile of Financials on return on equity",73.6
BAJAJHLDNG,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
BAJAJHLDNG,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJHLDNG,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,78.3
BAJAJHLDNG,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67.9
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,100.0
BAJFINANCE,con,CON-11,Net debt at 16.3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BAJFINANCE,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,85.0
BAJFINANCE,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,82.6
